time,cw,cc,i,cw unscaled,cc unscaled,iunscaled
6/6/2016 4:00,-0.024633961,-0.032942019,-0.031280379,-0.082113203,-0.10980673,-0.10426793
6/6/2016 4:15,-0.024353044,-0.034821045,-0.032836396,-0.081176813,-0.11607015,-0.109454653
6/6/2016 4:30,-0.024633961,-0.033210451,-0.031502667,-0.082113203,-0.110701503,-0.10500889
6/6/2016 4:45,-0.027457662,-0.034735147,-0.032765264,-0.09152554,-0.115783823,-0.109217547
6/6/2016 5:00,-0.026610067,-0.02972083,-0.028612922,-0.088700223,-0.099069433,-0.095376407
6/6/2016 5:15,-0.02350545,-0.033478883,-0.031724956,-0.0783515,-0.111596277,-0.105749853
6/6/2016 5:30,-0.027578747,-0.038761632,-0.036099585,-0.091929157,-0.12920544,-0.12033195
6/6/2016 5:45,-0.025321724,-0.033124553,-0.031431535,-0.084405747,-0.110415177,-0.104771783
6/6/2016 6:00,-0.024755046,-0.034638511,-0.03268524,-0.08251682,-0.115461703,-0.1089508
6/6/2016 6:15,-0.025321724,-0.033564782,-0.031796088,-0.084405747,-0.111882607,-0.10598696
6/6/2016 6:30,-0.025035963,-0.03678597,-0.034463545,-0.08345321,-0.1226199,-0.114878483
6/6/2016 6:45,-0.025157048,-0.036163207,-0.033947836,-0.083856827,-0.120544023,-0.113159453
6/6/2016 7:00,-0.026852237,-0.033661417,-0.031876111,-0.089507457,-0.112204723,-0.106253703
6/6/2016 7:15,-0.025442809,-0.035808876,-0.033654416,-0.084809363,-0.11936292,-0.112181387
6/6/2016 7:30,-0.02584481,-0.035175376,-0.033129816,-0.086149367,-0.117251253,-0.11043272
6/6/2016 7:45,-0.026692405,-0.035175376,-0.033129816,-0.088974683,-0.117251253,-0.11043272
6/6/2016 8:00,-0.02584481,-0.034198282,-0.032320688,-0.086149367,-0.113994273,-0.107735627
6/6/2016 8:15,-0.024716299,-0.031868289,-0.030391227,-0.082387663,-0.10622763,-0.10130409
6/6/2016 8:30,-0.023302027,-0.033124553,-0.031431535,-0.077673423,-0.110415177,-0.104771783
6/6/2016 8:45,-0.025118301,-0.0293665,-0.028319502,-0.08372767,-0.097888333,-0.09439834
6/6/2016 9:00,-0.026532573,-0.028110236,-0.027279194,-0.08844191,-0.093700787,-0.090930647
6/6/2016 9:15,-0.025684978,-0.029989263,-0.02883521,-0.085616593,-0.09996421,-0.096117367
6/6/2016 9:30,-0.025520303,-0.031245526,-0.029875519,-0.085067677,-0.104151753,-0.099585063
6/6/2016 9:45,-0.026367897,-0.031685755,-0.030240071,-0.08789299,-0.105619183,-0.100800237
6/6/2016 10:00,-0.026367897,-0.031331424,-0.029946651,-0.08789299,-0.10443808,-0.09982217
6/6/2016 10:15,-0.02608698,-0.030708661,-0.029430943,-0.0869566,-0.102362203,-0.098103143
6/6/2016 10:30,-0.024958469,-0.030075161,-0.028906343,-0.083194897,-0.100250537,-0.096354477
6/6/2016 10:45,-0.025927148,-0.029098067,-0.028097214,-0.086423827,-0.096993557,-0.09365738
6/6/2016 11:00,-0.024793793,-0.02972083,-0.028612922,-0.082645977,-0.099069433,-0.095376407
6/6/2016 11:15,-0.026488982,-0.028464567,-0.027572614,-0.088296607,-0.09488189,-0.091908713
6/6/2016 11:30,-0.025079554,-0.029989263,-0.02883521,-0.083598513,-0.09996421,-0.096117367
6/6/2016 11:45,-0.024512876,-0.03079456,-0.029502075,-0.081709587,-0.102648533,-0.09834025
6/6/2016 12:00,-0.025927148,-0.02765927,-0.02690575,-0.086423827,-0.092197567,-0.089685833
6/6/2016 12:15,-0.026048233,-0.032319256,-0.030764671,-0.086827443,-0.107730853,-0.102548903
6/6/2016 12:30,-0.024633961,-0.02765927,-0.02690575,-0.082113203,-0.092197567,-0.089685833
6/6/2016 12:45,-0.025481556,-0.026682176,-0.026096621,-0.08493852,-0.088940587,-0.086988737
6/6/2016 13:00,-0.026895828,-0.031685755,-0.030240071,-0.08965276,-0.105619183,-0.100800237
6/6/2016 13:15,-0.024914878,-0.032405154,-0.030835803,-0.083049593,-0.10801718,-0.10278601
6/6/2016 13:30,-0.026450235,-0.031782391,-0.030320095,-0.08816745,-0.105941303,-0.101066983
6/6/2016 13:45,-0.026169318,-0.031782391,-0.030320095,-0.08723106,-0.105941303,-0.101066983
6/6/2016 14:00,-0.026731152,-0.028915533,-0.027946058,-0.08910384,-0.09638511,-0.093153527
6/6/2016 14:15,-0.024474129,-0.028915533,-0.027946058,-0.08158043,-0.09638511,-0.093153527
