----------------------------------------------
PZ-CW TotHead [m]: 
    2016/06/05 07:00:00 430.396500 
    2016/06/05 07:15:00 430.396250 
    2016/06/05 07:30:00 430.394750 
    2016/06/05 07:45:00 430.392750 
    2016/06/05 08:00:00 430.392500 
    2016/06/05 08:15:00 430.390750 
    2016/06/05 08:30:00 430.394250 
    2016/06/05 08:45:00 430.397750 
    2016/06/05 09:00:00 430.392750 
    2016/06/05 09:15:00 430.394500 
    2016/06/05 09:30:00 430.392250 
    2016/06/05 09:45:00 430.396000 
    2016/06/05 10:00:00 430.390750 
    2016/06/05 10:15:00 430.390500 
    2016/06/05 10:30:00 430.390250 
    2016/06/05 10:45:00 430.387000 
    2016/06/05 11:00:00 430.388500 
    2016/06/05 11:15:00 430.388500 
    2016/06/05 11:30:00 430.392000 
    2016/06/05 11:45:00 430.390250 
    2016/06/05 12:00:00 430.390250 
    2016/06/05 12:15:00 430.392000 
    2016/06/05 12:30:00 430.393500 
    2016/06/05 12:45:00 430.393500 
    2016/06/05 13:00:00 430.393500 
    2016/06/05 13:15:00 430.393500 
    2016/06/05 13:30:00 430.397000 
    2016/06/05 13:45:00 430.395250 
    2016/06/05 14:00:00 430.395250 
    2016/06/05 14:15:00 430.395250 
    2016/06/05 14:30:00 430.395250 
    2016/06/05 14:45:00 430.391500 
    2016/06/05 15:00:00 430.389750 
    2016/06/05 15:15:00 430.391500 
    2016/06/05 15:30:00 430.393250 
    2016/06/05 15:45:00 430.404250 
    2016/06/05 16:00:00 430.402250 
    2016/06/05 16:15:00 430.404250 
    2016/06/05 16:30:00 430.409500 
    2016/06/05 16:45:00 430.408250 
    2016/06/05 17:00:00 430.407750 
    2016/06/05 17:15:00 430.406000 
    2016/06/05 17:30:00 430.406000 
    2016/06/05 17:45:00 430.402750 
    2016/06/05 18:00:00 430.407750 
    2016/06/05 18:15:00 430.420750 
    2016/06/05 18:30:00 430.410000 
    2016/06/05 18:45:00 430.413500 
    2016/06/05 19:00:00 430.415000 
    2016/06/05 19:15:00 430.418750 
    2016/06/05 19:30:00 430.413500 
    2016/06/05 19:45:00 430.410000 
    2016/06/05 20:00:00 430.416750 
    2016/06/05 20:15:00 430.422250 
    2016/06/05 20:30:00 430.424000 
    2016/06/05 20:45:00 430.424250 
    2016/06/05 21:00:00 430.427500 
    2016/06/05 21:15:00 430.432250 
    2016/06/05 21:30:00 430.431000 
    2016/06/05 21:45:00 430.434250 
    2016/06/05 22:00:00 430.430750 
    2016/06/05 22:15:00 430.427500 
    2016/06/05 22:30:00 430.429250 
    2016/06/05 22:45:00 430.429500 
    2016/06/05 23:00:00 430.429750 
    2016/06/05 23:15:00 430.431500 
    2016/06/05 23:30:00 430.431500 
    2016/06/05 23:45:00 430.435000 
    2016/06/06 00:00:00 430.435000 
    2016/06/06 00:15:00 430.436500 
    2016/06/06 00:30:00 430.440000 
    2016/06/06 00:45:00 430.441500 
    2016/06/06 01:00:00 430.436750 
    2016/06/06 01:15:00 430.438000 
    2016/06/06 01:30:00 430.434500 
    2016/06/06 01:45:00 430.429000 
    2016/06/06 02:00:00 430.427250 
    2016/06/06 02:15:00 430.430500 
    2016/06/06 02:30:00 430.432500 
    2016/06/06 02:45:00 430.434000 
    2016/06/06 03:00:00 430.432250 
    2016/06/06 03:15:00 430.430750 
    2016/06/06 03:30:00 430.419750 
    2016/06/06 03:45:00 430.428750 
