----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/05 11:30:00 428.160000 
    2016/06/05 11:45:00 428.165590 
    2016/06/05 12:00:00 428.173500 
    2016/06/05 12:15:00 428.172840 
    2016/06/05 12:30:00 428.169090 
    2016/06/05 12:45:00 428.163250 
    2016/06/05 13:00:00 428.167590 
    2016/06/05 13:15:00 428.163500 
    2016/06/05 13:30:00 428.166090 
    2016/06/05 13:45:00 428.165750 
    2016/06/05 14:00:00 428.167500 
    2016/06/05 14:15:00 428.167500 
    2016/06/05 14:30:00 428.166920 
    2016/06/05 14:45:00 428.164000 
    2016/06/05 15:00:00 428.169840 
    2016/06/05 15:15:00 428.169250 
    2016/06/05 15:30:00 428.174840 
    2016/06/05 15:45:00 428.177420 
    2016/06/05 16:00:00 428.180090 
    2016/06/05 16:15:00 428.177750 
    2016/06/05 16:30:00 428.178670 
    2016/06/05 16:45:00 428.179250 
    2016/06/05 17:00:00 428.175500 
    2016/06/05 17:15:00 428.172250 
    2016/06/05 17:30:00 428.175500 
    2016/06/05 17:45:00 428.173750 
    2016/06/05 18:00:00 428.175750 
    2016/06/05 18:15:00 428.174670 
    2016/06/05 18:30:00 428.177250 
    2016/06/05 18:45:00 428.175500 
    2016/06/05 19:00:00 428.177840 
    2016/06/05 19:15:00 428.176670 
    2016/06/05 19:30:00 428.175500 
    2016/06/05 19:45:00 428.179000 
    2016/06/05 20:00:00 428.179250 
    2016/06/05 20:15:00 428.183090 
    2016/06/05 20:30:00 428.181670 
    2016/06/05 20:45:00 428.177590 
    2016/06/05 21:00:00 428.178420 
    2016/06/05 21:15:00 428.177500 
    2016/06/05 21:30:00 428.180750 
    2016/06/05 21:45:00 428.177000 
    2016/06/05 22:00:00 428.183090 
    2016/06/05 22:15:00 428.178750 
    2016/06/05 22:30:00 428.178420 
    2016/06/05 22:45:00 428.180500 
    2016/06/05 23:00:00 428.182840 
    2016/06/05 23:15:00 428.178750 
    2016/06/05 23:30:00 428.181340 
    2016/06/05 23:45:00 428.181340 
    2016/06/06 00:00:00 428.183670 
    2016/06/06 00:15:00 428.183420 
    2016/06/06 00:30:00 428.182250 
    2016/06/06 00:45:00 428.180500 
    2016/06/06 01:00:00 428.182250 
    2016/06/06 01:15:00 428.181670 
    2016/06/06 01:30:00 428.181090 
    2016/06/06 01:45:00 428.179340 
    2016/06/06 02:00:00 428.177840 
    2016/06/06 02:15:00 428.176090 
    2016/06/06 02:30:00 428.177340 
    2016/06/06 02:45:00 428.173500 
    2016/06/06 03:00:00 428.178170 
    2016/06/06 03:15:00 428.175590 
    2016/06/06 03:30:00 428.177340 
    2016/06/06 03:45:00 428.171750 
    2016/06/06 04:00:00 428.179670 
    2016/06/06 04:15:00 428.180750 
    2016/06/06 04:30:00 428.180170 
    2016/06/06 04:45:00 428.175590 
    2016/06/06 05:00:00 428.175840 
    2016/06/06 05:15:00 428.180500 
    2016/06/06 05:30:00 428.175840 
    2016/06/06 05:45:00 428.177250 
    2016/06/06 06:00:00 428.179670 
    2016/06/06 06:15:00 428.178750 
    2016/06/06 06:30:00 428.179340 
    2016/06/06 06:45:00 428.179590 
    2016/06/06 07:00:00 428.172590 
    2016/06/06 07:15:00 428.180500 
    2016/06/06 07:30:00 428.176420 
    2016/06/06 07:45:00 428.176420 
    2016/06/06 08:00:00 428.176670 
    2016/06/06 08:15:00 428.178750 
    2016/06/06 08:30:00 428.181670 
    2016/06/06 08:45:00 428.178170 
    2016/06/06 09:00:00 428.172000 
    2016/06/06 09:15:00 428.175500 
    2016/06/06 09:30:00 428.176090 
