----------------------------------------------
PZ-Bank TotHead [m]: 
    2016/06/06 15:45:00 429.022920 
    2016/06/06 16:00:00 429.024670 
    2016/06/06 16:15:00 429.026170 
    2016/06/06 16:30:00 429.021170 
    2016/06/06 16:45:00 429.024420 
    2016/06/06 17:00:00 429.026170 
    2016/06/06 17:15:00 429.025920 
    2016/06/06 17:30:00 429.026500 
    2016/06/06 17:45:00 429.028250 
    2016/06/06 18:00:00 429.025000 
    2016/06/06 18:15:00 429.023250 
    2016/06/06 18:30:00 429.025000 
    2016/06/06 18:45:00 429.023250 
    2016/06/06 19:00:00 429.028840 
    2016/06/06 19:15:00 429.027340 
    2016/06/06 19:30:00 429.027090 
    2016/06/06 19:45:00 429.027340 
    2016/06/06 20:00:00 429.023840 
    2016/06/06 20:15:00 429.027090 
    2016/06/06 20:30:00 429.025590 
    2016/06/06 20:45:00 429.026840 
    2016/06/06 21:00:00 429.026840 
    2016/06/06 21:15:00 429.023840 
    2016/06/06 21:30:00 429.027090 
    2016/06/06 21:45:00 429.027670 
    2016/06/06 22:00:00 429.024420 
    2016/06/06 22:15:00 429.027670 
    2016/06/06 22:30:00 429.025670 
    2016/06/06 22:45:00 429.027420 
    2016/06/06 23:00:00 429.024420 
    2016/06/06 23:15:00 429.026170 
    2016/06/06 23:30:00 429.024420 
    2016/06/06 23:45:00 429.027670 
    2016/06/07 00:00:00 429.026170 
    2016/06/07 00:15:00 429.025920 
    2016/06/07 00:30:00 429.025920 
    2016/06/07 00:45:00 429.026170 
    2016/06/07 01:00:00 429.027420 
    2016/06/07 01:15:00 429.025920 
    2016/06/07 01:30:00 429.026170 
    2016/06/07 01:45:00 429.024170 
    2016/06/07 02:00:00 429.027670 
    2016/06/07 02:15:00 429.025920 
    2016/06/07 02:30:00 429.022420 
    2016/06/07 02:45:00 429.020670 
    2016/06/07 03:00:00 429.024170 
    2016/06/07 03:15:00 429.025670 
    2016/06/07 03:30:00 429.020920 
    2016/06/07 03:45:00 429.024750 
    2016/06/07 04:00:00 429.024750 
    2016/06/07 04:15:00 429.024500 
    2016/06/07 04:30:00 429.024750 
    2016/06/07 04:45:00 429.024500 
    2016/06/07 05:00:00 429.021500 
    2016/06/07 05:15:00 429.024750 
    2016/06/07 05:30:00 429.023000 
    2016/06/07 05:45:00 429.023590 
    2016/06/07 06:00:00 429.023340 
    2016/06/07 06:15:00 429.023340 
    2016/06/07 06:30:00 429.020090 
    2016/06/07 06:45:00 429.016590 
    2016/06/07 07:00:00 429.018340 
    2016/06/07 07:15:00 429.013090 
    2016/06/07 07:30:00 429.014840 
