----------------------------------------------
PZ-In TotHead [m]: 
    2016/06/05 12:45:00 428.433500 
    2016/06/05 13:00:00 428.427583 
    2016/06/05 13:15:00 428.427583 
    2016/06/05 13:30:00 428.428750 
    2016/06/05 13:45:00 428.425000 
    2016/06/05 14:00:00 428.425667 
    2016/06/05 14:15:00 428.421750 
    2016/06/05 14:30:00 428.419833 
    2016/06/05 14:45:00 428.421500 
    2016/06/05 15:00:00 428.419750 
    2016/06/05 15:15:00 428.415833 
    2016/06/05 15:30:00 428.417000 
    2016/06/05 15:45:00 428.426250 
    2016/06/05 16:00:00 428.424667 
    2016/06/05 16:15:00 428.422667 
    2016/06/05 16:30:00 428.428250 
    2016/06/05 16:45:00 428.428250 
    2016/06/05 17:00:00 428.426333 
    2016/06/05 17:15:00 428.424750 
    2016/06/05 17:30:00 428.424750 
    2016/06/05 17:45:00 428.422000 
    2016/06/05 18:00:00 428.423750 
    2016/06/05 18:15:00 428.436833 
    2016/06/05 18:30:00 428.433000 
    2016/06/05 18:45:00 428.434750 
    2016/06/05 19:00:00 428.434750 
    2016/06/05 19:15:00 428.438000 
    2016/06/05 19:30:00 428.433250 
    2016/06/05 19:45:00 428.430500 
    2016/06/05 20:00:00 428.432167 
    2016/06/05 20:15:00 428.433000 
    2016/06/05 20:30:00 428.435750 
    2016/06/05 20:45:00 428.435833 
    2016/06/05 21:00:00 428.436000 
    2016/06/05 21:15:00 428.433083 
    2016/06/05 21:30:00 428.430500 
    2016/06/05 21:45:00 428.432500 
    2016/06/05 22:00:00 428.436250 
    2016/06/05 22:15:00 428.434750 
    2016/06/05 22:30:00 428.434000 
    2016/06/05 22:45:00 428.432833 
    2016/06/05 23:00:00 428.431167 
    2016/06/05 23:15:00 428.427000 
    2016/06/05 23:30:00 428.426250 
    2016/06/05 23:45:00 428.428500 
    2016/06/06 00:00:00 428.427500 
    2016/06/06 00:15:00 428.423583 
    2016/06/06 00:30:00 428.421583 
    2016/06/06 00:45:00 428.423750 
    2016/06/06 01:00:00 428.425917 
    2016/06/06 01:15:00 428.423667 
    2016/06/06 01:30:00 428.418750 
    2016/06/06 01:45:00 428.421667 
    2016/06/06 02:00:00 428.421000 
    2016/06/06 02:15:00 428.424750 
    2016/06/06 02:30:00 428.424750 
    2016/06/06 02:45:00 428.426000 
    2016/06/06 03:00:00 428.423250 
    2016/06/06 03:15:00 428.423833 
    2016/06/06 03:30:00 428.421500 
    2016/06/06 03:45:00 428.420500 
    2016/06/06 04:00:00 428.422667 
    2016/06/06 04:15:00 428.423250 
    2016/06/06 04:30:00 428.422250 
    2016/06/06 04:45:00 428.424167 
    2016/06/06 05:00:00 428.425167 
    2016/06/06 05:15:00 428.423250 
    2016/06/06 05:30:00 428.422250 
    2016/06/06 05:45:00 428.424750 
    2016/06/06 06:00:00 428.428500 
    2016/06/06 06:15:00 428.430417 
    2016/06/06 06:30:00 428.429917 
    2016/06/06 06:45:00 428.432500 
    2016/06/06 07:00:00 428.433667 
    2016/06/06 07:15:00 428.437917 
    2016/06/06 07:30:00 428.439500 
    2016/06/06 07:45:00 428.440667 
    2016/06/06 08:00:00 428.442667 
    2016/06/06 08:15:00 428.445250 
    2016/06/06 08:30:00 428.446417 
    2016/06/06 08:45:00 428.449417 
    2016/06/06 09:00:00 428.452750 
    2016/06/06 09:15:00 428.454500 
    2016/06/06 09:30:00 428.458250 
    2016/06/06 09:45:00 428.457250 
    2016/06/06 10:00:00 428.458917 
    2016/06/06 10:15:00 428.458250 
    2016/06/06 10:30:00 428.460000 
    2016/06/06 10:45:00 428.462167 
    2016/06/06 11:00:00 428.464500 
    2016/06/06 11:15:00 428.465500 
    2016/06/06 11:30:00 428.467667 
    2016/06/06 11:45:00 428.466667 
    2016/06/06 12:00:00 428.466500 
    2016/06/06 12:15:00 428.467833 
