----------------------------------------------
PZ-CC TotHead [m]: 
    2016/06/05 02:45:00 428.599000 
    2016/06/05 03:00:00 428.599000 
    2016/06/05 03:15:00 428.602250 
    2016/06/05 03:30:00 428.602250 
    2016/06/05 03:45:00 428.602250 
    2016/06/05 04:00:00 428.602250 
    2016/06/05 04:15:00 428.602000 
    2016/06/05 04:30:00 428.602000 
    2016/06/05 04:45:00 428.602000 
    2016/06/05 05:00:00 428.598250 
    2016/06/05 05:15:00 428.600000 
    2016/06/05 05:30:00 428.598250 
    2016/06/05 05:45:00 428.596500 
    2016/06/05 06:00:00 428.598250 
    2016/06/05 06:15:00 428.598250 
    2016/06/05 06:30:00 428.598000 
    2016/06/05 06:45:00 428.596250 
    2016/06/05 07:00:00 428.596250 
    2016/06/05 07:15:00 428.598000 
    2016/06/05 07:30:00 428.594750 
    2016/06/05 07:45:00 428.596000 
    2016/06/05 08:00:00 428.594250 
    2016/06/05 08:15:00 428.594250 
    2016/06/05 08:30:00 428.589000 
    2016/06/05 08:45:00 428.590500 
    2016/06/05 09:00:00 428.590750 
    2016/06/05 09:15:00 428.589000 
    2016/06/05 09:30:00 428.588750 
    2016/06/05 09:45:00 428.588250 
    2016/06/05 10:00:00 428.586750 
    2016/06/05 10:15:00 428.584250 
    2016/06/05 10:30:00 428.584250 
    2016/06/05 10:45:00 428.583750 
    2016/06/05 11:00:00 428.583750 
    2016/06/05 11:15:00 428.584250 
    2016/06/05 11:30:00 428.582750 
    2016/06/05 11:45:00 428.589750 
    2016/06/05 12:00:00 428.596250 
    2016/06/05 12:15:00 428.595000 
    2016/06/05 12:30:00 428.594750 
    2016/06/05 12:45:00 428.591250 
    2016/06/05 13:00:00 428.585000 
    2016/06/05 13:15:00 428.586750 
    2016/06/05 13:30:00 428.587000 
    2016/06/05 13:45:00 428.585250 
    2016/06/05 14:00:00 428.588750 
    2016/06/05 14:15:00 428.587000 
    2016/06/05 14:30:00 428.588750 
    2016/06/05 14:45:00 428.590500 
    2016/06/05 15:00:00 428.592250 
    2016/06/05 15:15:00 428.593000 
    2016/06/05 15:30:00 428.596250 
    2016/06/05 15:45:00 428.598750 
    2016/06/05 16:00:00 428.602000 
    2016/06/05 16:15:00 428.600000 
    2016/06/05 16:30:00 428.598500 
    2016/06/05 16:45:00 428.598500 
    2016/06/05 17:00:00 428.598000 
    2016/06/05 17:15:00 428.596500 
    2016/06/05 17:30:00 428.599750 
    2016/06/05 17:45:00 428.595250 
    2016/06/05 18:00:00 428.595500 
    2016/06/05 18:15:00 428.597750 
    2016/06/05 18:30:00 428.603000 
    2016/06/05 18:45:00 428.603000 
    2016/06/05 19:00:00 428.601250 
    2016/06/05 19:15:00 428.601500 
    2016/06/05 19:30:00 428.601250 
    2016/06/05 19:45:00 428.602750 
    2016/06/05 20:00:00 428.603000 
    2016/06/05 20:15:00 428.603000 
    2016/06/05 20:30:00 428.605500 
    2016/06/05 20:45:00 428.603750 
    2016/06/05 21:00:00 428.602250 
    2016/06/05 21:15:00 428.604250 
    2016/06/05 21:30:00 428.605500 
    2016/06/05 21:45:00 428.603750 
    2016/06/05 22:00:00 428.607750 
    2016/06/05 22:15:00 428.605500 
    2016/06/05 22:30:00 428.604000 
    2016/06/05 22:45:00 428.605500 
    2016/06/05 23:00:00 428.607250 
    2016/06/05 23:15:00 428.605250 
    2016/06/05 23:30:00 428.602000 
    2016/06/05 23:45:00 428.607250 
    2016/06/06 00:00:00 428.606250 
    2016/06/06 00:15:00 428.606000 
    2016/06/06 00:30:00 428.604000 
    2016/06/06 00:45:00 428.604000 
    2016/06/06 01:00:00 428.606000 
    2016/06/06 01:15:00 428.606000 
    2016/06/06 01:30:00 428.604000 
    2016/06/06 01:45:00 428.604000 
    2016/06/06 02:00:00 428.600750 
    2016/06/06 02:15:00 428.603500 
    2016/06/06 02:30:00 428.603000 
    2016/06/06 02:45:00 428.605000 
    2016/06/06 03:00:00 428.603250 
    2016/06/06 03:15:00 428.604750 
    2016/06/06 03:30:00 428.603000 
    2016/06/06 03:45:00 428.600500 
    2016/06/06 04:00:00 428.602000 
    2016/06/06 04:15:00 428.602500 
    2016/06/06 04:30:00 428.602500 
    2016/06/06 04:45:00 428.603750 
    2016/06/06 05:00:00 428.603250 
    2016/06/06 05:15:00 428.601500 
    2016/06/06 05:30:00 428.600500 
    2016/06/06 05:45:00 428.599250 
    2016/06/06 06:00:00 428.601500 
    2016/06/06 06:15:00 428.603500 
    2016/06/06 06:30:00 428.601750 
    2016/06/06 06:45:00 428.602250 
    2016/06/06 07:00:00 428.598750 
    2016/06/06 07:15:00 428.604000 
    2016/06/06 07:30:00 428.600500 
    2016/06/06 07:45:00 428.602250 
    2016/06/06 08:00:00 428.601000 
    2016/06/06 08:15:00 428.604500 
    2016/06/06 08:30:00 428.602750 
    2016/06/06 08:45:00 428.602750 
    2016/06/06 09:00:00 428.601500 
    2016/06/06 09:15:00 428.599750 
    2016/06/06 09:30:00 428.601750 
    2016/06/06 09:45:00 428.597250 
    2016/06/06 10:00:00 428.602000 
    2016/06/06 10:15:00 428.601750 
    2016/06/06 10:30:00 428.598500 
    2016/06/06 10:45:00 428.598500 
    2016/06/06 11:00:00 428.597000 
    2016/06/06 11:15:00 428.595250 
    2016/06/06 11:30:00 428.595500 
    2016/06/06 11:45:00 428.593000 
    2016/06/06 12:00:00 428.589500 
    2016/06/06 12:15:00 428.590750 
    2016/06/06 12:30:00 428.591250 
    2016/06/06 12:45:00 428.589250 
    2016/06/06 13:00:00 428.587500 
    2016/06/06 13:15:00 428.590500 
    2016/06/06 13:30:00 428.592250 
    2016/06/06 13:45:00 428.592000 
    2016/06/06 14:00:00 428.592000 
    2016/06/06 14:15:00 428.595750 
    2016/06/06 14:30:00 428.592500 
    2016/06/06 14:45:00 428.592250 
    2016/06/06 15:00:00 428.592500 
    2016/06/06 15:15:00 428.590000 
    2016/06/06 15:30:00 428.588250 
    2016/06/06 15:45:00 428.592000 
    2016/06/06 16:00:00 428.588250 
    2016/06/06 16:15:00 428.593500 
    2016/06/06 16:30:00 428.592000 
    2016/06/06 16:45:00 428.594750 
    2016/06/06 17:00:00 428.596500 
    2016/06/06 17:15:00 428.596250 
    2016/06/06 17:30:00 428.596500 
    2016/06/06 17:45:00 428.596500 
    2016/06/06 18:00:00 428.596750 
    2016/06/06 18:15:00 428.595250 
    2016/06/06 18:30:00 428.597000 
    2016/06/06 18:45:00 428.597250 
    2016/06/06 19:00:00 428.598750 
    2016/06/06 19:15:00 428.601000 
    2016/06/06 19:30:00 428.599000 
    2016/06/06 19:45:00 428.599500 
    2016/06/06 20:00:00 428.597750 
    2016/06/06 20:15:00 428.601000 
    2016/06/06 20:30:00 428.599500 
    2016/06/06 20:45:00 428.599250 
    2016/06/06 21:00:00 428.600250 
