----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/05 09:30:00 428.497090 
    2016/06/05 09:45:00 428.496250 
    2016/06/05 10:00:00 428.498840 
    2016/06/05 10:15:00 428.497920 
    2016/06/05 10:30:00 428.496750 
    2016/06/05 10:45:00 428.495920 
    2016/06/05 11:00:00 428.496750 
    2016/06/05 11:15:00 428.494170 
    2016/06/05 11:30:00 428.495000 
    2016/06/05 11:45:00 428.500590 
    2016/06/05 12:00:00 428.508500 
    2016/06/05 12:15:00 428.507840 
    2016/06/05 12:30:00 428.504090 
    2016/06/05 12:45:00 428.498250 
    2016/06/05 13:00:00 428.502590 
    2016/06/05 13:15:00 428.498500 
    2016/06/05 13:30:00 428.501090 
    2016/06/05 13:45:00 428.500750 
    2016/06/05 14:00:00 428.502500 
    2016/06/05 14:15:00 428.502500 
    2016/06/05 14:30:00 428.501920 
    2016/06/05 14:45:00 428.499000 
    2016/06/05 15:00:00 428.504840 
    2016/06/05 15:15:00 428.504250 
    2016/06/05 15:30:00 428.509840 
    2016/06/05 15:45:00 428.512420 
    2016/06/05 16:00:00 428.515090 
    2016/06/05 16:15:00 428.512750 
    2016/06/05 16:30:00 428.513670 
    2016/06/05 16:45:00 428.514250 
    2016/06/05 17:00:00 428.510500 
    2016/06/05 17:15:00 428.507250 
    2016/06/05 17:30:00 428.510500 
    2016/06/05 17:45:00 428.508750 
    2016/06/05 18:00:00 428.510750 
    2016/06/05 18:15:00 428.509670 
    2016/06/05 18:30:00 428.512250 
    2016/06/05 18:45:00 428.510500 
    2016/06/05 19:00:00 428.512840 
    2016/06/05 19:15:00 428.511670 
    2016/06/05 19:30:00 428.510500 
    2016/06/05 19:45:00 428.514000 
    2016/06/05 20:00:00 428.514250 
    2016/06/05 20:15:00 428.518090 
    2016/06/05 20:30:00 428.516670 
    2016/06/05 20:45:00 428.512590 
    2016/06/05 21:00:00 428.513420 
    2016/06/05 21:15:00 428.512500 
    2016/06/05 21:30:00 428.515750 
    2016/06/05 21:45:00 428.512000 
    2016/06/05 22:00:00 428.518090 
    2016/06/05 22:15:00 428.513750 
    2016/06/05 22:30:00 428.513420 
    2016/06/05 22:45:00 428.515500 
    2016/06/05 23:00:00 428.517840 
    2016/06/05 23:15:00 428.513750 
    2016/06/05 23:30:00 428.516340 
    2016/06/05 23:45:00 428.516340 
    2016/06/06 00:00:00 428.518670 
    2016/06/06 00:15:00 428.518420 
    2016/06/06 00:30:00 428.517250 
    2016/06/06 00:45:00 428.515500 
    2016/06/06 01:00:00 428.517250 
    2016/06/06 01:15:00 428.516670 
    2016/06/06 01:30:00 428.516090 
    2016/06/06 01:45:00 428.514340 
    2016/06/06 02:00:00 428.512840 
    2016/06/06 02:15:00 428.511090 
    2016/06/06 02:30:00 428.512340 
    2016/06/06 02:45:00 428.508500 
    2016/06/06 03:00:00 428.513170 
    2016/06/06 03:15:00 428.510590 
    2016/06/06 03:30:00 428.512340 
    2016/06/06 03:45:00 428.506750 
    2016/06/06 04:00:00 428.514670 
    2016/06/06 04:15:00 428.515750 
    2016/06/06 04:30:00 428.515170 
    2016/06/06 04:45:00 428.510590 
    2016/06/06 05:00:00 428.510840 
    2016/06/06 05:15:00 428.515500 
    2016/06/06 05:30:00 428.510840 
    2016/06/06 05:45:00 428.512250 
    2016/06/06 06:00:00 428.514670 
    2016/06/06 06:15:00 428.513750 
    2016/06/06 06:30:00 428.514340 
    2016/06/06 06:45:00 428.514590 
    2016/06/06 07:00:00 428.507590 
    2016/06/06 07:15:00 428.515500 
    2016/06/06 07:30:00 428.511420 
    2016/06/06 07:45:00 428.511420 
    2016/06/06 08:00:00 428.511670 
    2016/06/06 08:15:00 428.513750 
    2016/06/06 08:30:00 428.516670 
    2016/06/06 08:45:00 428.513170 
    2016/06/06 09:00:00 428.507000 
    2016/06/06 09:15:00 428.510500 
    2016/06/06 09:30:00 428.511090 
    2016/06/06 09:45:00 428.507590 
    2016/06/06 10:00:00 428.509340 
