Specific discharge calculated as: THETA    *  SAT   *    VZ (from the obsPoints.out file). NaN may mean q is variable through the column, an unrealistic numerical result of the model.
6/1/2016 7:17:09,2.31762E-83
6/1/2016 7:20:36,2.3174985E-83
6/1/2016 7:21:52,2.31744975E-83
6/1/2016 7:24:16,2.371851E-83
6/1/2016 7:27:09,2.37174675E-83
6/1/2016 7:30:36,2.37161625E-83
6/1/2016 7:31:52,2.3715645E-83
6/1/2016 7:34:16,2.42598375E-83
6/1/2016 7:37:09,2.42588325E-83
6/1/2016 7:40:36,2.4257535E-83
6/1/2016 7:41:52,2.425707E-83
6/1/2016 7:44:16,2.4528615E-83
6/1/2016 7:47:09,2.4527685E-83
6/1/2016 7:50:36,2.4526455E-83
6/1/2016 7:51:52,2.4526005E-83
6/1/2016 7:54:16,2.42522025E-83
6/1/2016 7:57:09,2.425101E-83
6/1/2016 8:00:36,2.4249735E-83
6/1/2016 8:01:52,2.4249195E-83
6/1/2016 8:04:16,2.42486625E-83
6/1/2016 8:07:09,2.42476575E-83
6/1/2016 8:10:36,2.4246465E-83
6/1/2016 8:11:52,2.4246075E-83
6/1/2016 8:14:16,2.42455875E-83
6/1/2016 8:17:09,2.42446725E-83
6/1/2016 8:20:36,2.424363E-83
6/1/2016 8:21:52,2.42433E-83
6/1/2016 8:24:16,2.3424795E-83
6/1/2016 8:27:09,2.342499E-83
6/1/2016 8:30:36,2.342445E-83
6/1/2016 8:31:52,2.3424105E-83
6/1/2016 8:34:16,2.315181E-83
6/1/2016 8:37:09,2.31513975E-83
6/1/2016 8:40:36,2.315088E-83
6/1/2016 8:41:52,2.31507E-83
6/1/2016 8:44:16,2.28777525E-83
6/1/2016 8:47:09,2.28771375E-83
6/1/2016 8:50:36,2.28764175E-83
6/1/2016 8:51:52,2.287608E-83
6/1/2016 8:54:16,2.314833E-83
6/1/2016 8:57:09,2.3148705E-83
6/1/2016 9:00:36,2.31485775E-83
6/1/2016 9:01:52,2.314848E-83
6/1/2016 9:04:16,2.342082E-83
6/1/2016 9:07:09,2.3421045E-83
6/1/2016 9:10:36,2.34209475E-83
6/1/2016 9:11:52,2.342088E-83
6/1/2016 9:14:16,2.3966055E-83
6/1/2016 9:17:09,2.39667225E-83
6/1/2016 9:20:36,2.39670075E-83
6/1/2016 9:21:52,2.3967105E-83
6/1/2016 9:24:16,2.36952825E-83
6/1/2016 9:27:09,2.36955225E-83
6/1/2016 9:30:36,2.36957775E-83
6/1/2016 9:31:52,2.36958375E-83
6/1/2016 9:34:16,2.369622E-83
6/1/2016 9:37:09,2.36965725E-83
6/1/2016 9:40:36,2.3696835E-83
6/1/2016 9:41:52,2.3696895E-83
6/1/2016 9:44:16,2.3697435E-83
6/1/2016 9:47:09,2.36979225E-83
6/1/2016 9:50:36,2.3698335E-83
6/1/2016 9:51:52,2.3698455E-83
6/1/2016 9:54:16,2.42434875E-83
6/1/2016 9:57:09,2.42439E-83
6/1/2016 10:00:36,2.42442075E-83
6/1/2016 10:01:52,2.42442675E-83
6/1/2016 10:04:16,2.4244995E-83
6/1/2016 10:07:09,2.42457675E-83
6/1/2016 10:10:36,2.42463825E-83
6/1/2016 10:11:52,2.4246585E-83
6/1/2016 10:14:16,2.39752425E-83
6/1/2016 10:17:09,2.3976465E-83
6/1/2016 10:20:36,2.39774625E-83
6/1/2016 10:21:52,2.39778075E-83
6/1/2016 10:24:16,2.42517525E-83
6/1/2016 10:27:09,2.4253425E-83
6/1/2016 10:30:36,2.425491E-83
6/1/2016 10:31:52,2.425542E-83
6/1/2016 10:34:16,2.3711895E-83
6/1/2016 10:37:09,2.371428E-83
6/1/2016 10:40:36,2.37161775E-83
6/1/2016 10:41:52,2.37168225E-83
6/1/2016 10:44:16,2.29001325E-83
6/1/2016 10:47:09,2.29027725E-83
6/1/2016 10:50:36,2.29048575E-83
6/1/2016 10:51:52,2.29054875E-83
6/1/2016 10:54:16,2.263428E-83
6/1/2016 10:57:09,2.2636545E-83
6/1/2016 11:00:36,2.26385475E-83
6/1/2016 11:01:52,2.2639155E-83
6/1/2016 11:04:16,2.23695E-83
6/1/2016 11:07:09,2.23719375E-83
6/1/2016 11:10:36,2.23745325E-83
6/1/2016 11:11:52,2.23754775E-83
6/1/2016 11:14:16,2.26506375E-83
6/1/2016 11:17:09,2.26537575E-83
6/1/2016 11:20:36,2.265669E-83
6/1/2016 11:21:52,2.265765E-83
6/1/2016 11:24:16,2.375286E-83
6/1/2016 11:27:09,2.37561675E-83
6/1/2016 11:30:36,2.375943E-83
6/1/2016 11:31:52,2.3760615E-83
6/1/2016 11:34:16,2.4037005E-83
6/1/2016 11:37:09,2.4040545E-83
6/1/2016 11:40:36,2.40441E-83
6/1/2016 11:41:52,2.40453825E-83
6/1/2016 11:44:16,2.37744225E-83
6/1/2016 11:47:09,2.37783525E-83
6/1/2016 11:50:36,2.3782005E-83
6/1/2016 11:51:52,2.37831525E-83
6/1/2016 11:54:16,2.37865275E-83
6/1/2016 11:57:09,2.37904275E-83
6/1/2016 12:00:36,2.379435E-83
6/1/2016 12:01:52,2.3795655E-83
6/1/2016 12:04:16,2.352579E-83
6/1/2016 12:07:09,2.35307175E-83
6/1/2016 12:10:36,2.3535255E-83
6/1/2016 12:11:52,2.35368E-83
